Country,Date,life_exp,access_to_electricity,trade_in_services,foreign_investm,perc_overweigth,child_immunization,gdp_per_cap,net_primary_income,rural_population,primary_school_completion,armed_forces,measels_immunitization
Dominica,2020,73.649,110.21751079065052,38.7848834935232,-0.0766573197784601,58.91282446047035,98.0,7003.46989117043,6910851.85185185,28.91,93.10835901896166,3266.2217447946896,92.0
Denmark,2020,81.6024390243903,100.0,41.7682155815652,2.5579305708124,67.37855117089362,82.89652378251355,60915.4243995462,11476804216.2302,11.884,98.5351867675781,14706.144250201527,94.0
Dominican Republic,2020,72.889,100.0,9.87307931927984,-0.12556328716519,58.41754855090085,85.0,7167.91915908327,-3825000000.0,17.46,96.3163070678711,71645.34406025335,82.0
Algeria,2020,74.453,99.5799026489258,7.19039100801503,0.0100720353877314,60.42688598979021,99.0,3337.25251157504,-2944261095.08995,26.267,103.663528442383,380804.4063566383,80.0
East Asia & Pacific (excluding high income),2020,75.9360246370322,96.1905358006763,4.99765094091349,1.0725083279264,31.528447812992,92.6735223727983,8262.4792534288,-75709779.1798107,42.5044265374752,97.350959777832,7156678.554317456,91.3382986502419
Early-demographic dividend,2020,70.0299882762218,88.6906861688359,9.0924888685527,0.375258569600503,30.59183194689956,84.2574859274567,3215.09292533334,-75709779.1798107,54.127267762693,93.6111907958984,11895060.79360801,84.8671729560496
East Asia & Pacific,2020,76.7619396987569,96.2916095185189,8.069018035395,1.8941229846927,32.18198801025892,92.8170985896857,11475.4625106863,-75709779.1798107,39.3012715739958,97.5258331298828,8497964.440381665,91.6388850719919
Europe & Central Asia (excluding high income),2020,72.2166617037646,100.0,9.82803326365235,0.426133504212097,60.644546664760355,95.8460056705238,7441.46530668546,-75709779.1798107,32.0116781179847,100.691009521484,2666675.7857142836,94.3625085897178
Europe & Central Asia,2020,76.9591901000116,100.0,23.0873657020146,-0.306017244985743,65.82697160168186,96.0830667320098,23984.2787277322,-75709779.1798107,27.390049552238,98.6708602905273,4431641.571428567,93.6274494815261
Ecuador,2020,72.153,97.3995742797852,4.62775427318226,0.0,56.09624827809739,81.0,5645.19928965332,-2864266999.99999,35.834,100.613746643066,49066.461121357046,81.0
