Country,Date,life_exp,access_to_electricity,trade_in_services,foreign_investm,perc_overweigth,child_immunization,gdp_per_cap,net_primary_income,rural_population,primary_school_completion,armed_forces,measels_immunitization
Paraguay,2021,70.262,106.35371890277929,8.40493955297415,0.0392684146304172,57.644267077222366,79.0,5891.49996504641,-1145933902.93829,37.504,106.57168685476427,30239.515852944693,68.0
West Bank and Gaza,2021,73.473,44.80457076327002,15.9622202752453,0.431956734995681,20.088671906652735,99.0,3663.96905468875,3397800000.0,22.997,96.6041564941406,18455.68574615405,98.0
Pacific island small states,2021,69.1635941828432,92.7752780570434,19.3318706172237,0.441291685438527,63.90902605884389,87.9525841101746,3643.84543691992,-2168586371.100128,60.6877115322463,99.35934830388283,56000.0,74.7099176637792
Post-demographic dividend,2021,79.7983230828743,99.89995584165698,14.0423387102242,3.06661669657314,65.57060989736033,77.9985908781432,49223.5950344334,-2168586371.100128,18.1480509670267,99.09996435151879,4439226.173902005,92.972736188932
French Polynesia,2021,79.486,100.0,4.7526933358685,0.0158408936086752,36.773836040428705,77.9985908781432,19914.6035133645,0.0,37.934,97.509651184082,7975713.855760843,62.51941504829665
Qatar,2021,79.272,100.0,29.3227300280497,0.088987417098546,74.66153472165956,99.0,66838.357433014,-2762912087.91209,0.721999999999994,94.959716796875,17808.158938057022,99.0
Romania,2021,72.9609756097561,100.0,19.25964287914,0.471512934038594,67.8007886989169,97.0,14858.2294290445,-4798111431.59312,45.671,65.0602416992188,129688.42536250316,86.0
Russian Federation,2021,69.3612195121951,100.0,7.39936674056888,3.70381175555958,60.140472138940595,95.0,12194.77734375,-43015990000.5838,25.066,90.1781616210938,1325057.909140665,97.0
Rwanda,2021,66.072,100.0,11.2491960944251,0.0,15.597479944899135,89.0,822.3479885942,-226094874.415451,82.432,91.0010528564453,45432.523484103964,87.0
South Asia,2021,67.5791290463818,90.03984484831108,10.553657995407,0.430744398964127,18.787611313357047,87.2326225940206,2149.8215950035,-2619999.52336694,64.6480750073209,97.08489901630583,5494355.470254332,87.3638619495279
Saudi Arabia,2021,76.936,100.0,10.0276048118505,2.86247557987101,74.28079302055471,94.0,23185.8707917797,11378463752.63501,15.492,104.875267028809,288539.8504710067,98.0
Sudan,2021,65.267,34.14933970564084,8.74941596119102,0.158023115109057,34.5544823488101,80.0,751.821350097656,-1344422051.59593,64.407,39.7798690795898,208407.71375677176,81.0
Senegal,2021,67.093,48.73022361721496,13.843979648347585,0.786333203938638,20.332066553223626,87.0,1636.89320864296,-583545084.699549,51.4,62.9891891479492,19798.877649059636,87.0
Singapore,2021,83.4414634146342,100.0,128.30598134158,12.7969070140635,37.80447289522738,98.0,72794.0030226738,-47832973576.4793,0.0,26.7808399200439,157317.78445296036,95.0
Solomon Islands,2021,70.348,100.0,11.8557476982894,0.299662564364867,51.75056316343898,83.0,2304.84456746354,17952229.7356197,74.872,99.7892684936523,62556.65315678436,67.0
Sierra Leone,2021,60.062,8.47495609330614,7.55577489686876,0.0,19.83095373146432,74.0,480.039211301066,-46422131.8962921,56.628,98.0181274414063,11441.339134852169,87.0
El Salvador,2021,70.748,99.81077660360506,18.331374153094,1.79943533417267,61.37847824325422,78.0,4551.18466141298,-1624220000.0,25.882,114.44470629171656,31511.70390166866,86.0
San Marino,2021,54.048,100.0,11.175907364039631,0.0750640726469154,21.714788104691706,49.8976041919891,370.71545316849,-16080000.0,2.38,99.1428604125977,45547.268390188925,89.0
Somalia,2021,55.28,100.0,86.2421614102909,0.0750640726469154,20.957807308970132,37.0,446.981559635259,-42012905.7964405,53.269,87.8628005981445,45547.268390188925,46.0
Serbia,2021,72.7307317073171,100.0,26.5691313276997,0.430904051050214,67.2825027685492,98.0,9230.17831602601,-2434156303.49336,43.349,98.0667877197266,0.0,78.0
Sub-Saharan Africa (excluding high income),2021,60.2406347147534,100.0,8.26013468257571,0.161207406842027,21.08698565768657,77.0471175135769,1632.08753131287,3303513702.7197266,58.1713034756486,69.64424217846374,1995796.8152583838,67.6848822834093
South Sudan,2021,54.975,11.8557111128156,8.222302137667597,0.10067946603110478,5.581485632431281,52.0,310.63031222369,3303513702.7197266,79.486,47.2152214050293,848129.3168925568,49.0
Sub-Saharan Africa,2021,60.2417403457928,0.956415951251984,8.37225953060618,0.158180110306397,21.08830805572927,77.0480872718636,1633.18075389896,-6357159953.16159,58.1699468869556,69.64513542297038,1996437.237857975,67.6860447413912
Small states,2021,67.8224013905818,11.8645752476506,42.3557347968259,-7.95065358597669,44.50876253474689,86.1069169190178,12588.9277948417,-6357159953.16159,40.2856604824732,87.42878867886589,179628.79004868213,79.6592691279692
Sao Tome and Principe,2021,67.591,44.3197180512574,19.6728820213292,0.021488876119312,29.379396591308023,93.0,2360.54355385897,5700010.064364,24.927,80.39435993723777,74206.8199894866,77.0
Suriname,2021,70.274,40.0611457824707,21.2371076857849,-0.290154785530765,57.74105826108098,83.91707317073167,4869.13422621242,-393095431.472081,33.781,80.3766326904297,1563.4756104294793,58.0
